io_group,tile,active,pacman_version,asic_version,VDDD_DAC,VDDA_DAC,excluded_chips,n_excluded_chips
4,5,true,v1rev3b,2,"[40500,40000,40000,40500,40000,40500,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",60,1
4,6,true,v1rev3b,2,"[40500,40000,40000,40500,40000,40500,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
4,7,true,v1rev3b,2,"[40500,40000,40000,40500,40000,40500,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
4,8,true,v1rev3b,2,"[40500,40000,40000,40500,40000,40500,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
5,1,true,v1rev4,2b,"[32000,32000,32000,32000,34000,32500,32000,32000]","[46000,46000,46000,46000,46000,46000,46500,46000]",54,1
5,2,true,v1rev4,2b,"[32000,32000,32000,32000,34000,32500,32000,32000]","[46000,46000,46000,46000,46000,46000,46500,46000]",83,1
5,3,true,v1rev4,2b,"[32000,32000,32000,32000,34000,32500,32000,32000]","[46000,46000,46000,46000,46000,46000,46500,46000]",,0
5,4,true,v1rev4,2b,"[32000,32000,32000,32000,34000,32500,32000,32000]","[46000,46000,46000,46000,46000,46000,46500,46000]",,0
5,5,true,v1rev4,2b,"[32000,32000,32000,32000,34000,32500,32000,32000]","[46000,46000,46000,46000,46000,46000,46500,46000]",,0
5,6,true,v1rev4,2b,"[32000,32000,32000,32000,34000,32500,32000,32000]","[46000,46000,46000,46000,46000,46000,46500,46000]",,0
5,7,true,v1rev4,2b,"[32000,32000,32000,32000,34000,32500,32000,32000]","[46000,46000,46000,46000,46000,46000,46500,46000]",19;109;110,3
5,8,true,v1rev4,2b,"[32000,32000,32000,32000,34000,32500,32000,32000]","[46000,46000,46000,46000,46000,46000,46500,46000]",,0
6,1,true,v1rev4,2b,"[31000,31000,31000,31000,32000,32000,33000,31000]","[46000,46000,46000,46000,45000,46500,46000,46000]",,0
6,2,true,v1rev4,2b,"[31000,31000,31000,31000,32000,32000,33000,31000]","[46000,46000,46000,46000,45000,46500,46000,46000]",,0
6,3,true,v1rev4,2b,"[31000,31000,31000,31000,32000,32000,33000,31000]","[46000,46000,46000,46000,45000,46500,46000,46000]",38;40;50,3
6,4,true,v1rev4,2b,"[31000,31000,31000,31000,32000,32000,33000,31000]","[46000,46000,46000,46000,45000,46500,46000,46000]",,0
6,5,true,v1rev4,2b,"[31000,31000,31000,31000,32000,32000,33000,31000]","[46000,46000,46000,46000,45000,46500,46000,46000]",10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;40;42;49;50;59;60;61;62;63;64;66;67;68;69;70;76;77;78;79;80;81;82;83;84;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110,70
6,6,true,v1rev4,2b,"[31000,31000,31000,31000,32000,32000,33000,31000]","[46000,46000,46000,46000,45000,46500,46000,46000]",13;42;45;61;72,5
6,7,true,v1rev4,2b,"[31000,31000,31000,31000,32000,32000,33000,31000]","[46000,46000,46000,46000,45000,46500,46000,46000]",,0
6,8,true,v1rev4,2b,"[31000,31000,31000,31000,32000,32000,33000,31000]","[46000,46000,46000,46000,45000,46500,46000,46000]",85,1
7,1,true,v1rev3b,2,"[40000,40000,40000,40000,40000,40000,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",110,1
7,2,true,v1rev3b,2,"[40000,40000,40000,40000,40000,40000,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
7,3,true,v1rev3b,2,"[40000,40000,40000,40000,40000,40000,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",94,1
7,4,true,v1rev3b,2,"[40000,40000,40000,40000,40000,40000,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
7,5,true,v1rev3b,2,"[40000,40000,40000,40000,40000,40000,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",11;98,2
7,6,true,v1rev3b,2,"[40000,40000,40000,40000,40000,40000,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",12;70;110,3
7,7,true,v1rev3b,2,"[40000,40000,40000,40000,40000,40000,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
7,8,true,v1rev3b,2,"[40000,40000,40000,40000,40000,40000,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
8,1,true,v1rev3b,2,"[40000,41000,40500,40000,40000,39000,41000,39000]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
8,2,true,v1rev3b,2,"[40000,41000,40500,40000,40000,39000,41000,39000]","[46000,46000,46000,46000,46000,46000,46000,46000]",53;94;101,3
8,3,true,v1rev3b,2,"[40000,41000,40500,40000,40000,39000,41000,39000]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
8,4,true,v1rev3b,2,"[40000,41000,40500,40000,40000,39000,41000,39000]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
8,5,true,v1rev3b,2,"[40000,41000,40500,40000,40000,39000,41000,39000]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
8,6,true,v1rev3b,2,"[40000,41000,40500,40000,40000,39000,41000,39000]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
8,7,true,v1rev3b,2,"[40000,41000,40500,40000,40000,39000,41000,39000]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
8,8,true,v1rev3b,2,"[40000,41000,40500,40000,40000,39000,41000,39000]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
